Model,Test RMSE,Test MAE,Test R2
XGB (tuned),42090.89043053398,26945.511294815893,0.8677071416590298
XGB,42841.416863652965,27529.168794853744,0.8629472278556432
Stack ensemble,42867.49612358232,27605.528801740802,0.8627803182144879
GBR,44911.42728759071,29528.80988784397,0.8493830365274925
RF,46922.408897998444,30560.17199299386,0.8355928227391659
Ridge,64115.020744953916,46279.26345686915,0.6930414408776149
Lasso,64125.310349112784,46283.96541209974,0.6929429074769569
Linear,64125.313123045984,46283.96677069786,0.6929428809115998
